Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
GLUtex,b2215,0.007019897324474033,7.608737202375119,2.9014712071888553
GLUtex,b2215,0.007019897324474033,7.608737202375119,2.9014712071888553
GLYtex,b2215,0.007019897324474033,3.69990692910592,2.361588057394879
GLYtex,b2215,0.007019897324474033,3.69990692910592,2.361588057394879
GLYALDtex,b2215,0.007019897324474033,1.7202638042764042,1.1489045241777367
GLYALDtex,b2215,0.007019897324474033,1.7202638042764042,1.1489045241777367
GLYBtex,b2215,0.007019897324474033,3.980107711212154,2.968973503003823
GLYBtex,b2215,0.007019897324474033,3.980107711212154,2.968973503003823
GLYCtex,b2215,0.007019897324474033,5.501131228079121,4.336119311174971
GLYCtex,b2215,0.007019897324474033,5.501131228079121,4.336119311174971
GLYC3Ptex,b2215,0.007019897324474033,2.136326600464071,0.8698649692272261
GLYC3Ptex,b2215,0.007019897324474033,2.136326600464071,0.8698649692272261
GLYCLTtex,b2215,0.007019897324474033,10.616719971582016,8.898487476619628
GLYCLTtex,b2215,0.007019897324474033,10.616719971582016,8.898487476619628
GTPtex,b2215,0.007019897324474033,2.1007165625550073,0.9038421269170914
GTPtex,b2215,0.007019897324474033,2.1007165625550073,0.9038421269170914
Htex,b2215,0.007019897324474033,6.971406066086843,5.335365216506274
Htex,b2215,0.007019897324474033,6.971406066086843,5.335365216506274
H2tex,b2215,0.007019897324474033,5.925504884178222,4.908033471177087
H2tex,b2215,0.007019897324474033,5.925504884178222,4.908033471177087
H2Otex,b2215,0.007019897324474033,6.377066374431385,4.674953340044417
H2Otex,b2215,0.007019897324474033,6.377066374431385,4.674953340044417
DAPtex,b2215,0.007019897324474033,3.4971861408089184,2.0758805056183327
DAPtex,b2215,0.007019897324474033,3.4971861408089184,2.0758805056183327
12PPDStex,b2215,0.007019897324474033,6.065559107215439,4.407364223788953
12PPDStex,b2215,0.007019897324474033,6.065559107215439,4.407364223788953
DDGLCNtex,b2215,0.007019897324474033,3.8736293713956202,2.4480345723183152
DDGLCNtex,b2215,0.007019897324474033,3.8736293713956202,2.4480345723183152
26DAHtex,b2215,0.007019897324474033,21.91859311961685,9.993509282630022
26DAHtex,b2215,0.007019897324474033,21.91859311961685,9.993509282630022
HCINNMtex,b2215,0.007019897324474033,1.857516672579615,0.8726919238024974
HCINNMtex,b2215,0.007019897324474033,1.857516672579615,0.8726919238024974
HPPPNtex,b2215,0.007019897324474033,2.3975044623619883,1.624855528920373
HPPPNtex,b2215,0.007019897324474033,2.3975044623619883,1.624855528920373
ACtex,b2215,0.007019897324474033,8.357147976489566,5.698522267267963
ACtex,b2215,0.007019897324474033,8.357147976489566,5.698522267267963
ACALDtex,b2215,0.007019897324474033,15.282980021879336,12.4759927083155
ACALDtex,b2215,0.007019897324474033,15.282980021879336,12.4759927083155
ACMANAtex,b2215,0.007019897324474033,7.801855706947873,4.543664318045764
ACMANAtex,b2215,0.007019897324474033,7.801855706947873,4.543664318045764
ACMUMtex,b2215,0.007019897324474033,13.207623720888867,10.259542559866498
GALtex,b2215,0.007019897324474033,8.342219860108639,7.87978293901593
GALtex,b2215,0.007019897324474033,8.342219860108639,7.87978293901593
GALCTtex,b2215,0.007019897324474033,7.86700382242617,4.407195507264118
GALCTtex,b2215,0.007019897324474033,7.86700382242617,4.407195507264118
GALCTNtex,b2215,0.007019897324474033,3.297002313407488,2.1660177563032166
GALCTNtex,b2215,0.007019897324474033,3.297002313407488,2.1660177563032166
GALTtex,b2215,0.007019897324474033,4.292753632284871,2.836976901526243
GALTtex,b2215,0.007019897324474033,4.292753632284871,2.836976901526243
GALURtex,b2215,0.007019897324474033,13.42576259183815,9.969698730298926
GALURtex,b2215,0.007019897324474033,13.42576259183815,9.969698730298926
GAMtex,b2215,0.007019897324474033,1.9522284073092977,1.168723421631254
GAMtex,b2215,0.007019897324474033,1.9522284073092977,1.168723421631254
GBBTNtex,b2215,0.007019897324474033,4.045704249323466,2.3662239826219373
GBBTNtex,b2215,0.007019897324474033,4.045704249323466,2.3662239826219373
