Reactions,Min Solutions,Max Solutions,Solution Biomass
12DGR120tipp,0.0,2.27961315936714,0.286438247117574
12DGR140tipp,0.0,2.19174137497846,0.286438247117574
12DGR141tipp,0.0,2.28435334675441,0.286438247117574
12DGR160tipp,0.0,2.2796131593671,0.286438247117574
12DGR161tipp,0.0,2.27040161091384,0.286438247117574
12DGR180tipp,0.0,2.27961315936729,0.286438247117574
12DGR181tipp,0.0,2.28589427970594,0.286438247117574
12PPDRtex,0.0,12.9493591251181,0.286438247117574
12PPDRtex_reverse,0.0,12.9493591251181,0.286438247117574
12PPDRtpp,0.0,1000.0,0.286438247117574
12PPDRtpp_reverse,0.0,1000.0,0.286438247117574
12PPDStex,0.0,13.1985275154127,0.286438247117574
12PPDStex_reverse,0.0,13.1985275154127,0.286438247117574
12PPDStpp,0.0,1000.0,0.286438247117574
12PPDStpp_reverse,0.0,1000.0,0.286438247117574
13PPDH2,0.0,65.4230647658035,0.286438247117574
13PPDH2_reverse,0.0,65.4230647657982,0.286438247117574
14GLUCANabcpp,0.0,0.0,0.286438247117574
14GLUCANtexi,0.0,0.0,0.286438247117574
23CAMPtex,0.0,8.80930423323162,0.286438247117574
23CAMPtex_reverse,0.0,8.80930423323246,0.286438247117574
23CCMPtex,0.0,2.87577185346154,0.286438247117574
23CCMPtex_reverse,0.0,2.87577185346147,0.286438247117574
23CGMPtex,0.0,2.91114991512666,0.286438247117574
23CGMPtex_reverse,0.0,2.91114991512662,0.286438247117574
23CUMPtex,0.0,6.50267592439371,0.286438247117574
23CUMPtex_reverse,0.0,6.50267592439354,0.286438247117574
23DAPPAt2pp,0.0,0.0,0.286438247117574
23DAPPAtex,0.0,5.78404683941723,0.286438247117574
23DAPPAtex_reverse,0.0,5.78404683941738,0.286438247117574
23DOGULNt4pp,0.0,0.0,0.286438247117574
23PDE2pp,0.0,0.0,0.286438247117574
23PDE4pp,0.0,0.0,0.286438247117574
23PDE7pp,0.0,0.0,0.286438247117574
23PDE9pp,0.0,0.0,0.286438247117574
26DAHtex,0.0,57.4753115301841,0.286438247117574
26DAHtex_reverse,0.0,57.4753115301841,0.286438247117574
